symbol,date,open,high,low,close,volume,oi,expiry
DIXON     ,2025-12-11,12302.0,13060.0,12167.0,13017.0,1495450.0,2063850.0,2025-12-30
DIXON     ,2025-12-11,12386.0,13130.0,12248.0,13097.0,141300.0,197500.0,2026-01-27
DIXON     ,2025-12-11,12500.0,13200.0,12327.0,13173.0,20200.0,41450.0,2026-02-24
DLF       ,2025-12-11,688.55,699.4,683.45,697.0,3873375.0,46976325.0,2025-12-30
DLF       ,2025-12-11,692.0,702.4,687.5,701.05,259050.0,1631850.0,2026-01-27
DLF       ,2025-12-11,694.3,706.15,692.5,704.65,28875.0,428175.0,2026-02-24
DMART     ,2025-12-11,3801.0,3847.1,3765.4,3831.2,683100.0,5348550.0,2025-12-30
DMART     ,2025-12-11,3822.1,3855.9,3776.2,3837.5,147750.0,189900.0,2026-01-27
DMART     ,2025-12-11,3852.6,3855.0,3780.5,3845.4,14700.0,29850.0,2026-02-24
DRREDDY   ,2025-12-11,1252.9,1281.4,1252.9,1276.1,1727500.0,12682500.0,2025-12-30
DRREDDY   ,2025-12-11,1258.5,1287.4,1258.5,1281.7,256250.0,721250.0,2026-01-27
DRREDDY   ,2025-12-11,1280.0,1291.4,1280.0,1288.6,6875.0,40625.0,2026-02-24
EICHERMOT ,2025-12-11,7293.0,7343.0,7251.5,7271.0,712950.0,3077375.0,2025-12-30
EICHERMOT ,2025-12-11,7314.5,7380.0,7303.5,7325.5,83500.0,143300.0,2026-01-27
EICHERMOT ,2025-12-11,7369.5,7418.0,7345.5,7349.5,3300.0,14600.0,2026-02-24
ETERNAL   ,2025-12-11,284.45,293.0,283.9,292.25,22913825.0,304386000.0,2025-12-30
ETERNAL   ,2025-12-11,287.0,294.65,286.45,294.0,2694175.0,9891575.0,2026-01-27
ETERNAL   ,2025-12-11,288.8,296.2,287.9,295.5,244925.0,1423475.0,2026-02-24
EXIDEIND  ,2025-12-11,369.4,376.25,369.3,375.75,1733400.0,28634400.0,2025-12-30
